"","RegionCentroidLatitude","RegionCentroidLongitude","ID","Binomial","State","MaxStatus","count"
"270",-35.33131139,138.668376,4858,"Acacia_menzelii","South Australia","Vulnerable",115
"271",-35.33131139,138.668376,4859,"Acacia_menzelii","South Australia","Vulnerable",115
"272",-35.33131139,138.668376,4860,"Acacia_menzelii","South Australia","Vulnerable",115
"273",-35.33131139,138.668376,4861,"Acacia_menzelii","South Australia","Vulnerable",115
"274",-35.33131139,138.668376,4862,"Acacia_menzelii","South Australia","Vulnerable",115
"275",-35.33131139,138.668376,4863,"Acacia_menzelii","South Australia","Vulnerable",115
"276",-35.33131139,138.668376,4864,"Acacia_menzelii","South Australia","Vulnerable",115
"277",-35.33131139,138.668376,4865,"Acacia_menzelii","South Australia","Vulnerable",115
"278",-35.33131139,138.668376,4866,"Acacia_menzelii","South Australia","Vulnerable",115
"279",-35.33131139,138.668376,4867,"Acacia_menzelii","South Australia","Vulnerable",115
"280",-35.33131139,138.668376,4868,"Acacia_menzelii","South Australia","Vulnerable",115
"281",-35.33131139,138.668376,4869,"Acacia_menzelii","South Australia","Vulnerable",115
"282",-35.33131139,138.668376,4870,"Acacia_menzelii","South Australia","Vulnerable",115
"283",-35.33131139,138.668376,4871,"Acacia_menzelii","South Australia","Vulnerable",115
"284",-35.33131139,138.668376,4872,"Acacia_menzelii","South Australia","Vulnerable",115
"285",-35.33131139,138.668376,4873,"Acacia_menzelii","South Australia","Vulnerable",115
"286",-35.33131139,138.668376,4874,"Acacia_menzelii","South Australia","Vulnerable",115
"287",-35.33131139,138.668376,4875,"Acacia_menzelii","South Australia","Vulnerable",115
"288",-35.33131139,138.668376,4876,"Acacia_menzelii","South Australia","Vulnerable",115
"289",-35.33131139,138.668376,4877,"Acacia_menzelii","South Australia","Vulnerable",115
"290",-35.33131139,138.668376,4878,"Acacia_menzelii","South Australia","Vulnerable",115
"291",-35.33131139,138.668376,4879,"Acacia_menzelii","South Australia","Vulnerable",115
"292",-35.33131139,138.668376,4898,"Acacia_pinguifolia","South Australia","Endangered",115
"293",-35.33131139,138.668376,4900,"Acacia_pinguifolia","South Australia","Endangered",115
"294",-35.33131139,138.668376,4903,"Acacia_pinguifolia","South Australia","Endangered",115
"295",-35.33131139,138.668376,4904,"Acacia_pinguifolia","South Australia","Endangered",115
"296",-35.33131139,138.668376,4905,"Acacia_pinguifolia","South Australia","Endangered",115
"297",-35.33131139,138.668376,4906,"Acacia_pinguifolia","South Australia","Endangered",115
"298",-35.33131139,138.668376,4907,"Acacia_pinguifolia","South Australia","Endangered",115
"299",-35.33131139,138.668376,4920,"Acacia_rhetinocarpa","South Australia","Vulnerable",115
"300",-35.33131139,138.668376,4924,"Acacia_rhetinocarpa","South Australia","Vulnerable",115
"301",-35.33131139,138.668376,4926,"Acacia_rhetinocarpa","South Australia","Vulnerable",115
"302",-35.33131139,138.668376,4927,"Acacia_rhetinocarpa","South Australia","Vulnerable",115
"303",-35.33131139,138.668376,4928,"Acacia_rhetinocarpa","South Australia","Vulnerable",115
"304",-35.33131139,138.668376,4930,"Acacia_rhetinocarpa","South Australia","Vulnerable",115
"305",-35.33131139,138.668376,4933,"Acacia_rhetinocarpa","South Australia","Vulnerable",115
